,0,183_Friday,183_Monday,183_Saturday,183_Sunday,183_Thursday,183_Tuesday,183_Wednesday,35_Friday,35_Monday,35_Saturday,35_Sunday,35_Thursday,35_Tuesday,35_Wednesday,lamar_Friday,lamar_Monday,lamar_Saturday,lamar_Sunday,lamar_Thursday,lamar_Tuesday,lamar_Wednesday,burnet_Friday,burnet_Monday,burnet_Saturday,burnet_Sunday,burnet_Thursday,burnet_Tuesday,burnet_Wednesday,2222_Friday,2222_Monday,2222_Saturday,2222_Sunday,2222_Thursday,2222_Tuesday,2222_Wednesday
0,0,0.88,0.93,1.26,1.78,0.81,0.81,0.78,0.93,0.92,1.75,2.56,0.8,0.78,0.83,1.09,0.9,2.07,2.82,0.83,0.77,0.82,0.9,0.75,1.88,2.49,0.78,0.74,0.81,0.51,0.43,1.07,1.55,0.43,0.38,0.43
1,1,0.56,0.61,1.0,1.33,0.68,0.5,0.63,0.6,0.5,1.16,1.74,0.51,0.46,0.48,0.68,0.51,1.54,1.93,0.46,0.52,0.45,0.58,0.46,1.19,1.66,0.44,0.43,0.43,0.28,0.24,0.69,1.05,0.23,0.2,0.19
2,2,0.56,0.57,1.03,0.95,0.45,0.33,0.47,0.6,0.42,1.14,1.39,0.46,0.44,0.45,0.6,0.43,1.26,1.76,0.38,0.43,0.4,0.5,0.35,1.07,1.4,0.38,0.37,0.32,0.19,0.16,0.45,0.77,0.14,0.14,0.11
3,3,0.47,0.67,0.82,0.93,0.46,0.52,0.48,0.47,0.43,0.67,0.77,0.41,0.42,0.39,0.38,0.28,0.81,0.98,0.31,0.29,0.3,0.37,0.25,0.54,0.67,0.27,0.24,0.3,0.17,0.13,0.32,0.47,0.11,0.13,0.14
4,4,0.62,0.69,0.43,0.53,0.59,0.59,0.71,0.59,0.58,0.53,0.49,0.48,0.5,0.58,0.23,0.21,0.32,0.47,0.19,0.2,0.21,0.27,0.28,0.31,0.32,0.27,0.25,0.26,0.15,0.12,0.17,0.15,0.12,0.13,0.14
5,5,2.41,2.45,1.14,0.68,2.81,2.51,2.79,1.75,1.63,1.13,0.78,1.81,1.82,1.83,0.66,0.65,0.45,0.44,0.62,0.67,0.69,0.9,0.92,0.56,0.45,0.96,0.93,0.93,0.52,0.54,0.32,0.2,0.52,0.49,0.58
6,6,7.04,7.57,3.59,1.57,7.3,7.05,7.37,5.28,5.33,2.63,1.28,5.63,5.72,5.7,2.57,2.96,1.26,0.91,2.74,2.91,2.85,3.53,3.62,1.45,1.03,3.52,3.62,3.74,2.79,3.26,1.04,0.7,3.15,3.33,3.29
7,7,8.31,9.28,4.28,2.57,8.84,9.64,9.32,5.6,6.09,3.35,2.2,6.16,6.38,6.13,5.32,6.07,2.29,1.58,5.63,5.87,5.97,6.39,6.86,2.81,2.13,7.05,6.89,6.97,6.36,7.53,2.31,1.63,6.92,7.32,7.77
8,8,9.15,11.13,5.09,3.45,10.37,10.75,11.03,5.59,5.92,4.35,3.26,5.86,6.1,6.18,6.07,6.84,3.56,2.68,6.57,6.69,6.88,7.06,7.46,4.05,3.21,7.25,7.35,7.57,7.44,8.62,4.01,3.13,8.02,8.24,8.65
9,9,7.2,7.42,5.46,4.08,8.0,8.05,8.12,5.1,5.43,4.79,4.56,5.15,5.17,5.25,5.46,5.94,4.71,3.89,5.86,6.01,5.92,6.05,6.4,5.52,4.42,6.27,6.62,6.62,6.97,7.6,5.45,4.66,7.17,7.55,7.82
