,0,183_Friday,183_Monday,183_Saturday,183_Sunday,183_Thursday,183_Tuesday,183_Wednesday,35_Friday,35_Monday,35_Saturday,35_Sunday,35_Thursday,35_Tuesday,35_Wednesday,lamar_Friday,lamar_Monday,lamar_Saturday,lamar_Sunday,lamar_Thursday,lamar_Tuesday,lamar_Wednesday,burnet_Friday,burnet_Monday,burnet_Saturday,burnet_Sunday,burnet_Thursday,burnet_Tuesday,burnet_Wednesday,2222_Friday,2222_Monday,2222_Saturday,2222_Sunday,2222_Thursday,2222_Tuesday,2222_Wednesday
10,10,5.75,5.78,6.21,5.38,5.62,5.32,5.8,4.65,4.99,5.71,5.28,4.69,4.63,4.73,5.1,5.2,5.86,5.3,5.08,5.25,5.06,5.43,5.48,6.32,5.39,5.52,5.76,5.77,5.8,5.75,6.52,6.47,5.54,5.81,5.65
11,11,5.75,5.77,6.7,6.91,5.37,5.35,5.64,5.22,5.3,6.07,6.42,4.89,4.91,5.04,5.7,5.75,6.59,6.47,5.53,5.69,5.68,6.14,6.37,7.03,6.79,5.9,6.16,6.13,6.24,6.16,7.33,7.71,5.71,5.97,6.07
12,12,6.19,5.87,7.37,7.73,6.24,6.23,6.1,5.37,5.49,6.76,7.28,5.06,5.26,5.29,6.33,6.12,7.23,7.55,5.9,6.0,6.01,6.22,6.54,7.49,7.7,6.02,6.21,6.49,6.66,6.02,7.5,8.2,5.85,6.23,5.79
13,13,5.6,6.06,6.82,8.24,5.82,6.1,5.64,5.76,5.69,6.92,7.49,5.15,5.38,5.17,6.45,6.16,7.27,7.77,5.97,6.04,5.85,6.39,6.42,7.45,7.58,5.96,6.15,6.16,6.41,5.72,7.48,8.26,5.8,5.89,5.71
14,14,5.18,5.26,7.02,7.51,4.86,4.9,4.56,6.03,6.12,6.93,7.83,5.73,6.0,6.06,6.69,6.19,7.23,7.75,6.29,6.2,6.33,6.18,6.13,7.45,7.87,6.04,5.99,6.19,6.48,6.21,7.43,8.05,6.17,6.08,6.11
15,15,4.94,4.69,6.27,7.64,4.61,4.76,4.75,6.86,6.88,7.01,7.67,6.43,6.67,6.68,7.5,7.31,7.2,7.4,7.04,7.43,7.29,6.65,6.39,7.35,7.73,6.2,6.19,5.96,7.13,6.97,7.28,7.61,6.85,6.88,6.91
16,16,4.89,4.34,6.03,6.47,4.19,4.6,4.34,7.55,7.94,6.62,7.42,7.74,7.95,7.73,7.54,8.23,6.63,6.99,7.53,7.85,7.88,6.9,7.4,6.53,6.93,7.03,7.12,7.06,7.78,8.07,6.88,7.2,7.68,8.01,7.91
17,17,4.64,4.25,5.95,6.38,4.13,3.94,3.84,7.56,8.16,6.31,6.85,8.45,8.49,8.45,7.27,7.85,6.14,6.5,7.36,7.67,7.69,7.05,7.73,5.8,6.72,7.61,7.69,7.66,7.63,8.79,6.88,7.12,8.78,8.74,8.49
18,18,4.8,4.14,5.73,6.32,4.61,4.53,4.46,6.69,7.16,6.04,6.12,7.64,7.4,7.31,6.08,6.76,5.82,6.46,6.97,6.99,6.96,5.8,6.18,5.61,6.24,6.57,6.53,6.23,5.98,6.7,6.8,7.15,7.11,6.73,6.63
19,19,4.47,3.51,4.99,5.46,4.35,3.91,3.49,5.3,5.24,5.1,5.36,5.68,5.36,5.43,4.93,4.98,5.39,5.75,5.58,5.23,5.19,4.68,4.37,5.24,5.69,4.96,4.66,4.51,4.61,4.4,5.52,5.65,5.05,4.6,4.45
20,20,3.71,3.15,4.29,4.88,3.53,3.23,3.34,4.05,3.74,4.4,4.69,4.25,3.75,3.89,4.22,3.97,4.84,5.22,4.49,4.13,4.09,4.11,3.61,4.74,4.76,4.08,3.84,3.52,3.26,2.71,4.62,4.77,3.4,2.9,2.85
21,21,3.0,2.66,3.47,3.93,2.77,3.03,2.95,3.44,2.79,4.04,3.87,3.17,2.97,3.02,3.72,3.22,4.33,4.18,3.81,3.36,3.46,3.29,2.89,3.98,3.85,3.09,2.97,2.93,2.92,2.08,4.06,3.76,2.56,2.24,2.17
22,22,2.35,1.93,2.63,2.9,2.1,1.97,1.88,2.92,1.94,3.47,2.86,2.29,2.05,2.07,3.12,2.15,4.03,3.26,3.05,2.45,2.59,2.71,1.94,3.12,2.92,2.35,2.07,2.15,2.29,1.21,3.49,2.6,1.73,1.33,1.39
23,23,1.53,1.29,2.4,2.4,1.5,1.4,1.51,2.08,1.29,3.11,1.86,1.56,1.4,1.31,2.29,1.32,3.18,1.93,1.8,1.35,1.45,1.88,1.2,2.5,2.04,1.51,1.24,1.3,1.43,0.57,2.37,1.15,0.97,0.68,0.75
